Protein Accession,Transcript Accession
NP_001259643.1,NM_001272714.2
NP_001162780.2,NM_001169309.2
NP_788924.2,NM_176751.5
NP_001285373.1,NM_001298444.1
NP_573218.1,NM_132990.3
NP_001259645.1,NM_001272716.1
NP_001285374.1,NM_001298445.1
NP_001259646.1,NM_001272717.1
NP_001097011.1,NM_001103541.3
NP_573220.2,NM_132992.3
NP_001014749.1,NM_001014749.2
NP_001285375.1,NM_001298446.1
NP_573221.2,NM_132993.3
NP_728082.2,NM_167569.2
NP_728083.2,NM_167570.2
NP_001259649.1,NM_001272720.1
NP_001259648.1,NM_001272719.1
NP_001259647.1,NM_001272718.1
NP_001259650.1,NM_001272721.1
NP_573223.1,NM_132995.2
NP_728086.1,NM_167571.2
NP_001259653.1,NM_001272724.1
NP_001259652.1,NM_001272723.1
NP_001259651.1,NM_001272722.1
NP_573222.3,NM_132994.2
NP_001285376.1,NM_001298447.1
NP_001162781.1,NM_001169310.2
NP_001259655.2,NM_001272726.2
NP_573224.2,NM_132996.4
NP_001259654.1,NM_001272725.2
NP_573225.1,NM_132997.3
NP_001138217.1,NM_001144745.2
NP_573226.1,NM_132998.2
NP_001285377.1,NM_001298448.1
NP_573227.1,NM_132999.3
NP_573228.1,NM_133000.3
NP_001285378.1,NM_001298449.1
NP_001285379.1,NM_001298450.1
NP_573229.1,NM_133001.3
NP_573230.1,NM_133002.2
NP_001259659.1,NM_001272730.1
NP_001259658.1,NM_001272729.1
NP_728090.1,NM_167573.2
NP_001259657.1,NM_001272728.1
NP_001259656.1,NM_001272727.1
NP_728089.1,NM_167572.2
NP_573231.2,NM_133003.3
NP_573232.1,NM_133004.2
NP_001259661.1,NM_001272732.1
NP_523388.1,NM_078664.3
NP_001259660.1,NM_001272731.1
NP_573233.1,NM_133005.2
NP_728092.1,NM_167574.2
NP_001285380.1,NM_001298451.1
NP_001285381.1,NM_001298452.1
NP_996496.1,NM_206773.2
NP_001285382.1,NM_001298453.1
NP_001285384.1,NM_001298455.1
NP_573237.2,NM_133009.3
NP_001285383.1,NM_001298454.1
NP_001033852.1,NM_001038763.2
NP_573238.1,NM_133010.5
NP_728094.1,NM_167575.2
NP_573239.1,NM_133011.3
NP_573240.1,NM_133012.5
NP_001188663.1,NM_001201734.3
NP_001285386.1,NM_001298457.1
NP_001097012.1,NM_001103542.4
NP_001285387.1,NM_001298458.1
NP_001285385.1,NM_001298456.1
NP_728095.2,NM_167576.3
NP_001285388.1,NM_001298459.1
NP_001188662.1,NM_001201733.1
NP_573242.2,NM_133014.3
NP_001285390.1,NM_001298461.1
NP_001285389.1,NM_001298460.1
NP_523389.3,NM_078665.3
NP_573243.1,NM_133015.2
NP_001259662.1,NM_001272733.2
NP_523390.3,NM_078666.4
NP_001285391.1,NM_001298462.1
NP_573244.1,NM_133016.3
NP_523391.3,NM_078667.4
NP_573245.1,NM_133017.4
NP_001188664.1,NM_001201735.2
NP_573246.1,NM_133018.4
NP_001285392.1,NM_001298463.1
NP_728098.1,NM_167577.3
NP_728099.1,NM_167578.3
NP_573247.2,NM_133019.4
NP_728100.1,NM_167579.2
NP_573248.2,NM_133020.4
NP_728102.1,NM_167580.2
NP_573249.1,NM_133021.4
NP_001188667.1,NM_001201738.1
NP_573250.1,NM_133022.3
NP_001188665.1,NM_001201736.2
NP_001188666.1,NM_001201737.2
NP_573251.1,NM_133023.4
NP_001259663.1,NM_001272734.1
NP_573252.1,NM_133024.4
NP_728104.1,NM_167581.3
NP_728107.2,NM_170659.2
NP_001014750.1,NM_001014750.2
NP_728106.1,NM_170658.3
NP_001285393.1,NM_001298464.1
NP_573255.1,NM_133027.2
NP_573254.1,NM_133026.1
NP_788925.2,NM_176752.2
NP_001162782.1,NM_001169311.1
NP_573256.3,NM_133028.3
NP_788926.2,NM_176753.2
NP_001162784.1,NM_001169313.1
NP_001162783.1,NM_001169312.1
NP_001285394.1,NM_001298465.1
NP_788927.2,NM_176754.2
NP_728117.2,NM_167590.2
NP_001162787.1,NM_001169316.1
NP_728118.2,NM_167591.2
NP_728116.1,NM_167589.2
NP_001162786.1,NM_001169315.1
NP_001285395.1,NM_001298466.1
NP_573257.1,NM_133029.4
NP_001285396.1,NM_001298467.1
NP_573258.1,NM_133030.4
NP_001285397.1,NM_001298468.1
NP_573259.2,NM_133031.2
NP_523393.3,NM_078669.5
NP_001259666.2,NM_001272737.1
NP_728120.1,NM_167592.4
NP_001401061.1,NM_001414058.1
NP_001259665.2,NM_001272736.2
NP_728122.1,NM_167594.4
NP_001188668.1,NM_001201739.2
NP_996498.2,NM_206775.5
NP_001245727.1,NM_001258798.2
NP_001401062.1,NM_001414059.1
NP_728123.1,NM_167595.4
NP_001303569.1,NM_001316640.1
NP_728124.1,NM_167596.5
NP_001259664.1,NM_001272735.3
NP_001162788.1,NM_001169317.1
NP_001245726.1,NM_001258797.1
NP_996497.1,NM_206774.2
NP_573261.1,NM_133033.2
NP_573262.2,NM_133034.6
NP_001097013.2,NM_001103543.3
NP_573264.2,NM_133036.3
NP_523394.1,NM_078670.3
NP_001285398.1,NM_001298469.1
NP_728131.1,NM_167599.2
NP_001285399.1,NM_001298470.1
NP_573265.1,NM_133037.3
NP_523395.1,NM_078671.5
NP_001259667.1,NM_001272738.2
NP_996499.1,NM_206776.2
NP_001245728.1,NM_001258799.1
NP_001245729.1,NM_001258800.2
NP_523396.1,NM_078672.5
NP_001285401.1,NM_001298472.1
NP_788928.2,NM_176755.3
NP_573267.3,NM_133039.5
NP_001245730.1,NM_001258801.2
NP_001285400.1,NM_001298471.1
NP_573268.1,NM_133040.3
NP_001245731.1,NM_001258802.1
NP_728135.1,NM_167602.2
NP_523397.1,NM_078673.4
NP_573269.1,NM_133041.2
NP_728138.1,NM_167604.4
NP_001259669.1,NM_001272740.2
NP_523398.1,NM_078674.4
NP_728140.1,NM_167606.3
NP_728141.1,NM_167607.3
NP_728142.1,NM_167608.3
NP_001259670.1,NM_001272741.1
NP_001259668.1,NM_001272739.1
NP_728137.1,NM_167603.3
NP_728139.1,NM_167605.3
NP_001245734.1,NM_001258805.2
NP_001245733.1,NM_001258804.2
NP_001245732.1,NM_001258803.2
NP_001245735.1,NM_001258806.1
NP_001245736.1,NM_001258807.3
NP_001259671.1,NM_001272742.2
NP_001259672.1,NM_001272743.1
NP_523399.1,NM_078675.4
NP_996500.1,NM_206777.2
NP_728145.1,NM_167610.4
NP_001245737.1,NM_001258808.2
NP_001245738.1,NM_001258809.2
NP_001033853.1,NM_001038764.2
NP_573271.1,NM_133043.3
NP_001259673.1,NM_001272744.1
NP_001259674.1,NM_001272745.1
NP_001259675.1,NM_001272746.1
NP_996501.1,NM_206778.3
NP_525093.1,NM_080354.4
NP_996502.1,NM_206779.3
NP_573272.2,NM_133044.2
NP_525094.1,NM_080355.2
NP_573273.1,NM_133045.4
NP_001259676.1,NM_001272747.1
NP_001188670.1,NM_001201741.1
NP_001188669.1,NM_001201740.1
NP_001027070.1,NM_001031899.2
NP_001356882.1,NM_001370039.1
NP_728153.2,NM_167611.3
NP_573278.1,NM_133050.2
NP_001097014.1,NM_001103544.2
NP_001285402.1,NM_001298473.1
NP_001097015.1,NM_001103545.3
NP_525095.2,NM_080356.4
NP_573285.1,NM_133057.3
NP_996503.2,NM_206780.2
NP_001245739.1,NM_001258810.2
NP_573286.1,NM_133058.4
NP_001285403.1,NM_001298474.1
NP_573287.1,NM_133059.3
NP_001097016.2,NM_001103546.3
NP_001097017.1,NM_001103547.4
NP_001097018.1,NM_001103548.4
NP_001259678.1,NM_001272749.2
NP_001368947.1,NM_001382186.1
NP_001334685.1,NM_001347813.2
NP_001259677.1,NM_001272748.3
NP_001245740.1,NM_001258811.3
NP_996504.1,NM_206781.4
NP_996506.2,NM_206783.4
NP_001259680.1,NM_001272751.1
NP_476890.1,NM_057542.3
NP_001259679.1,NM_001272750.1
NP_573288.1,NM_133060.3
NP_523400.1,NM_078676.4
NP_001285404.1,NM_001298475.1
NP_523401.2,NM_078677.3
NP_573289.2,NM_133061.3
NP_996508.1,NM_206785.2
NP_996509.1,NM_206786.2
NP_728162.1,NM_167614.2
NP_728163.2,NM_167615.2
NP_996510.2,NM_206787.2
NP_001097019.1,NM_001103549.2
NP_573291.1,NM_133063.2
NP_001138219.1,NM_001144747.2
NP_001138218.1,NM_001144746.2
NP_728167.1,NM_167617.2
NP_573293.1,NM_133065.3
NP_573294.1,NM_133066.2
NP_728169.2,NM_167618.3
NP_001259681.1,NM_001272752.1
NP_001259682.1,NM_001272753.2
NP_728174.2,NM_167622.3
NP_001259683.1,NM_001272754.1
NP_001097020.1,NM_001103550.2
NP_573296.2,NM_133068.3
NP_001259684.2,NM_001272755.2
NP_573297.1,NM_133069.2
NP_573298.1,NM_133070.2
NP_573299.1,NM_133071.3
NP_001285405.1,NM_001298476.1
NP_573300.1,NM_133072.2
NP_001285406.1,NM_001298477.1
NP_728178.1,NM_167623.2
NP_573301.2,NM_133073.3
NP_573302.1,NM_133074.3
NP_001285407.1,NM_001298478.1
NP_476924.1,NM_057576.5
NP_573303.1,NM_133075.3
NP_001285408.1,NM_001298479.1
NP_001285409.1,NM_001298480.1
NP_573304.1,NM_133076.3
NP_001259688.2,NM_001272759.2
NP_788931.1,NM_176758.3
NP_728184.1,NM_167625.3
NP_001259687.1,NM_001272758.1
NP_523402.4,NM_078678.4
NP_001259686.1,NM_001272757.1
NP_001259685.1,NM_001272756.1
NP_573305.2,NM_133077.2
NP_728180.1,NM_167624.3
NP_573307.1,NM_133079.3
NP_573308.1,NM_133080.2
NP_573309.1,NM_133081.3
NP_573311.1,NM_133083.3
NP_728186.1,NM_167626.2
NP_001285410.1,NM_001298481.1
NP_001162791.1,NM_001169320.2
NP_001285411.1,NM_001298482.1
NP_001285413.1,NM_001298484.1
NP_001285412.1,NM_001298483.1
NP_573313.2,NM_133085.4
NP_573314.1,NM_133086.4
NP_573315.1,NM_133087.3
NP_573316.1,NM_133088.1
NP_573317.1,NM_133089.2
NP_728189.1,NM_167627.1
NP_477499.1,NM_058151.5
NP_573318.1,NM_133090.2
NP_001285414.1,NM_001298485.1
NP_573319.1,NM_133091.3
NP_523403.2,NM_078679.3
NP_728191.1,NM_167628.2
NP_001097021.1,NM_001103551.2
NP_573320.1,NM_133092.3
NP_001097022.2,NM_001103552.3
NP_573321.1,NM_133093.2
NP_728194.1,NM_167629.3
NP_001097023.1,NM_001103553.3
NP_573323.1,NM_133095.2
NP_001259689.1,NM_001272760.1
NP_728196.1,NM_167630.2
NP_573324.1,NM_133096.3
NP_573325.1,NM_133097.3
NP_524861.2,NM_080122.4
NP_001245743.1,NM_001258814.2
NP_001245742.1,NM_001258813.1
NP_573326.1,NM_133098.3
NP_728202.1,NM_167634.3
NP_523406.1,NM_078682.4
NP_728201.1,NM_167633.2
NP_728203.1,NM_167635.3
NP_573327.2,NM_133099.2
NP_001259691.1,NM_001272762.2
NP_573328.2,NM_133100.4
NP_573329.2,NM_133101.4
NP_001285415.1,NM_001298486.1
NP_523407.1,NM_078683.3
NP_001162792.1,NM_001169321.2
NP_573330.3,NM_133102.3
NP_573332.3,NM_133104.3
NP_573331.1,NM_133103.3
NP_573333.2,NM_133105.3
NP_001285416.1,NM_001298487.1
NP_001259693.1,NM_001272764.1
NP_573334.1,NM_133106.3
NP_728208.1,NM_167637.2
NP_001259694.1,NM_001272765.1
NP_001259695.1,NM_001272766.1
NP_573335.1,NM_133107.2
NP_573336.3,NM_133108.3
NP_001356949.1,NM_001370011.1
NP_652493.2,NM_144236.3
NP_001285417.1,NM_001298488.1
NP_573338.1,NM_133110.3
NP_001285418.1,NM_001298489.1
NP_573339.1,NM_133111.2
NP_001285419.1,NM_001298490.1
NP_001285420.1,NM_001298491.1
NP_573340.1,NM_133112.2
NP_001285421.1,NM_001298492.1
NP_001097027.1,NM_001103557.2
NP_573341.1,NM_133113.2
NP_001259698.1,NM_001272769.1
NP_573342.1,NM_133114.4
NP_001259697.1,NM_001272768.1
NP_001285422.1,NM_001298493.1
NP_001285423.1,NM_001298494.1
NP_001097028.1,NM_001103558.2
NP_573344.1,NM_133116.2
NP_001285424.1,NM_001298495.1
NP_001097029.1,NM_001103559.2
NP_573345.1,NM_133117.3
NP_573346.2,NM_133118.4
NP_573347.1,NM_133119.3
NP_573348.1,NM_133120.3
NP_001285425.1,NM_001298496.1
NP_573349.4,NM_133121.5
NP_573350.1,NM_133122.2
NP_573352.2,NM_133124.4
NP_001138220.1,NM_001144748.2
NP_001285426.1,NM_001298497.1
NP_001138221.1,NM_001144749.2
NP_573351.1,NM_133123.2
NP_573353.2,NM_133125.3
NP_001303572.1,NM_001316643.1
NP_001285427.1,NM_001298498.1
NP_573354.1,NM_133126.2
NP_573355.1,NM_133127.3
NP_996512.1,NM_206789.2
NP_001259699.1,NM_001272770.2
NP_001285428.1,NM_001298499.1
NP_573357.1,NM_133129.2
NP_573358.1,NM_133130.3
NP_573359.1,NM_133131.2
NP_573360.1,NM_133132.2
NP_001259700.1,NM_001272771.1
NP_573361.1,NM_133133.2
NP_001245744.1,NM_001258815.2
NP_001285429.1,NM_001298500.1
NP_573362.1,NM_133134.3
NP_001285430.1,NM_001298501.1
NP_728227.1,NM_167641.2
NP_573364.1,NM_133136.3
NP_001285431.1,NM_001298502.1
NP_573365.1,NM_133137.3
NP_573366.1,NM_133138.2
NP_001259701.1,NM_001272772.1
NP_573367.1,NM_133139.2
NP_573368.2,NM_133140.3
NP_573369.1,NM_133141.3
NP_001259702.1,NM_001272773.2
NP_573370.1,NM_133142.2
NP_001285432.1,NM_001298503.1
NP_573371.1,NM_133143.2
NP_001285433.1,NM_001298504.1
NP_728235.1,NM_167642.3
NP_001097030.1,NM_001103560.3
NP_001259703.1,NM_001272774.1
NP_573372.1,NM_133144.4
NP_573373.1,NM_133145.4
NP_728236.1,NM_167643.3
NP_001259704.1,NM_001272775.1
NP_728237.1,NM_167644.2
NP_001097031.2,NM_001103561.2
NP_573375.2,NM_133147.2
NP_573376.2,NM_133148.5
NP_001162794.1,NM_001169323.2
NP_573377.1,NM_133149.3
NP_001285434.1,NM_001298505.1
NP_001285435.1,NM_001298506.1
NP_573378.1,NM_133150.3
NP_728239.3,NM_167645.4
NP_001285436.1,NM_001298507.1
NP_996514.1,NM_206791.3
NP_001162795.1,NM_001169324.2
NP_001245746.1,NM_001258817.2
NP_728243.1,NM_167648.3
NP_728242.1,NM_167647.3
NP_573382.1,NM_133154.5
NP_728244.1,NM_167649.2
NP_001285437.1,NM_001298508.1
NP_573383.1,NM_133155.4
NP_001285438.1,NM_001298509.1
NP_728245.1,NM_167650.2
NP_001285439.1,NM_001298510.1
NP_573384.1,NM_133156.2
NP_001162796.1,NM_001169325.2
NP_523408.2,NM_078684.4
NP_573385.1,NM_133157.4
NP_573386.2,NM_133158.4
NP_652499.2,NM_144242.4
NP_573387.1,NM_133159.3
NP_001245748.1,NM_001258819.2
NP_001245749.1,NM_001258820.2
NP_728252.1,NM_167654.2
NP_001245750.1,NM_001258821.2
NP_728249.1,NM_167651.2
NP_728254.1,NM_167656.2
NP_477452.3,NM_058104.5
NP_001285441.1,NM_001298512.1
NP_477451.1,NM_058103.3
NP_728250.1,NM_167652.2
NP_728253.1,NM_167655.2
NP_001245751.1,NM_001258822.2
NP_001245752.1,NM_001258823.2
NP_728251.1,NM_167653.3
NP_001285440.1,NM_001298511.1
NP_728257.2,NM_167657.3
NP_573388.1,NM_133160.2
NP_001259705.1,NM_001272776.1
NP_001014754.1,NM_001014754.1
NP_001245753.1,NM_001258824.1
NP_001188671.1,NM_001201742.3
NP_001014752.2,NM_001014752.4
NP_001014753.1,NM_001014753.3
NP_001245754.1,NM_001258825.2
NP_001014755.1,NM_001014755.2
NP_001014756.1,NM_001014756.2
NP_001259706.1,NM_001272777.1
NP_001245755.1,NM_001258826.1
NP_573390.1,NM_133162.2
NP_001285442.1,NM_001298513.1
NP_608318.5,NM_134474.5
NP_001285443.1,NM_001298514.1
NP_001285444.1,NM_001298515.1
NP_001162798.1,NM_001169327.2
NP_728264.1,NM_167662.2
NP_001162797.1,NM_001169326.2
NP_523409.1,NM_078685.3
NP_728265.1,NM_167663.2
NP_728266.1,NM_167664.2
NP_001259707.1,NM_001272778.1
NP_523410.1,NM_078686.5
NP_001188672.1,NM_001201743.3
NP_001188673.1,NM_001201744.2
NP_728267.1,NM_167665.2
NP_728268.1,NM_167666.3
NP_001259708.1,NM_001272779.1
NP_608319.1,NM_134475.4
NP_728269.1,NM_167667.3
NP_001259709.1,NM_001272780.2
NP_001245756.1,NM_001258827.1
NP_001245757.1,NM_001258828.2
NP_608320.2,NM_134476.3
NP_001259710.1,NM_001272781.1
NP_608321.1,NM_134477.3
NP_608322.1,NM_134478.2
NP_608323.1,NM_134479.2
NP_728273.1,NM_167668.2
NP_608324.1,NM_134480.4
NP_001245758.1,NM_001258829.2
NP_001285445.1,NM_001298516.1
NP_001245759.1,NM_001258830.2
NP_608325.1,NM_134481.2
NP_001285446.1,NM_001298517.1
NP_728275.1,NM_167669.3
NP_608326.1,NM_134482.4
NP_001245760.1,NM_001258831.1
NP_001285448.1,NM_001298519.1
NP_001027073.1,NM_001031902.2
NP_001027072.1,NM_001031901.2
NP_001027071.1,NM_001031900.3
NP_001285447.1,NM_001298518.1
NP_608327.2,NM_134483.3
NP_728278.2,NM_167671.2
NP_608328.1,NM_134484.3
NP_001285449.1,NM_001298520.1
NP_001259712.1,NM_001272783.1
NP_608329.1,NM_134485.4
NP_001259711.1,NM_001272782.2
NP_001027074.1,NM_001031903.2
NP_001027075.1,NM_001031904.3
NP_001259713.1,NM_001272784.1
NP_608330.2,NM_134486.3
NP_001259714.1,NM_001272785.1
NP_608331.1,NM_134487.3
NP_001259716.1,NM_001272787.2
NP_001259715.1,NM_001272786.1
NP_608332.2,NM_134488.2
NP_001259717.1,NM_001272788.1
NP_608333.1,NM_134489.4
NP_001259718.1,NM_001272789.1
NP_001259721.1,NM_001272792.1
NP_608334.3,NM_134490.3
NP_001259719.1,NM_001272790.1
NP_001259720.1,NM_001272791.1
NP_001259722.1,NM_001272793.2
NP_728284.1,NM_167675.2
NP_608335.1,NM_134491.4
NP_608336.1,NM_134492.3
NP_001285450.1,NM_001298521.1
NP_608337.1,NM_134493.3
NP_001285451.1,NM_001298522.1
NP_001285452.1,NM_001298523.1
NP_608338.1,NM_134494.3
NP_001285453.1,NM_001298524.1
NP_608339.2,NM_134495.3
NP_608340.2,NM_134496.3
NP_001285454.1,NM_001298525.1
NP_608341.1,NM_134497.2
NP_001259723.1,NM_001272794.1
NP_001259724.1,NM_001272795.1
NP_608342.1,NM_134498.4
NP_001259725.1,NM_001272796.2
NP_001285455.1,NM_001298526.1
NP_523411.1,NM_078687.2
NP_728287.1,NM_167676.2
NP_001285456.1,NM_001298527.1
NP_001245761.1,NM_001258832.1
NP_608343.2,NM_134499.2
NP_523412.1,NM_078688.3
NP_001285457.1,NM_001298528.1
NP_608344.1,NM_134500.4
NP_608345.2,NM_134501.3
NP_001285458.1,NM_001298529.1
NP_523413.1,NM_078689.4
NP_001259726.1,NM_001272797.1
NP_001285459.1,NM_001298530.1
NP_608346.1,NM_134502.4
NP_001245762.1,NM_001258833.3
NP_001245763.1,NM_001258834.3
NP_523414.1,NM_078690.4
NP_001245765.1,NM_001258836.2
NP_608347.1,NM_134503.4
NP_608348.1,NM_134504.4
NP_001245766.1,NM_001258837.1
NP_608349.1,NM_134505.3
NP_652615.1,NM_144358.3
NP_001285460.1,NM_001298531.1
NP_001285461.1,NM_001298532.1
NP_001162799.1,NM_001169328.2
NP_608350.2,NM_134506.3
NP_001259728.1,NM_001272799.1
NP_523415.1,NM_078691.3
NP_001356950.1,NM_001369972.1
NP_001356951.1,NM_001369973.1
NP_608351.1,NM_134507.2
NP_728296.1,NM_167680.3
NP_728294.1,NM_167678.3
NP_001245767.1,NM_001258838.2
NP_728295.1,NM_167679.3
NP_728298.1,NM_167682.3
NP_728297.1,NM_167681.3
NP_652669.1,NM_144412.4
NP_001259730.1,NM_001272801.1
NP_001285463.1,NM_001298534.1
NP_001027079.1,NM_001031908.2
NP_001285462.1,NM_001298533.1
NP_001027078.1,NM_001031907.2
NP_001285464.1,NM_001298535.1
NP_608352.2,NM_134508.3
NP_001259731.1,NM_001272802.2
NP_608353.2,NM_134509.4
NP_001259734.1,NM_001272805.1
NP_608354.1,NM_134510.2
NP_001259732.1,NM_001272803.1
NP_001259733.1,NM_001272804.1
NP_001285465.1,NM_001298536.1
NP_001259735.1,NM_001272806.1
NP_608355.1,NM_134511.2
NP_001245769.1,NM_001258840.3
NP_001245768.1,NM_001258839.2
NP_728304.1,NM_167685.3
NP_608356.1,NM_134512.5
NP_001285466.1,NM_001298537.1
NP_608357.2,NM_134513.3
NP_608358.1,NM_134514.2
NP_608359.1,NM_134515.2
NP_728307.1,NM_167686.3
NP_608363.1,NM_134519.3
NP_001188674.1,NM_001201745.1
NP_001188675.1,NM_001201746.1
NP_728308.1,NM_167687.3
NP_608362.2,NM_134518.4
NP_608361.3,NM_134517.3
NP_001245770.1,NM_001258841.1
NP_001259736.1,NM_001272807.1
NP_608360.2,NM_134516.3
NP_001245771.1,NM_001258842.1
NP_001245772.1,NM_001258843.1
NP_001033855.1,NM_001038766.3
NP_001245773.1,NM_001258844.1
NP_728309.1,NM_167688.2
NP_001245774.1,NM_001258845.1
NP_523416.2,NM_078692.2
NP_001285467.1,NM_001298538.1
NP_001285468.1,NM_001298539.1
NP_001285469.1,NM_001298540.1
NP_001285470.1,NM_001298541.1
NP_001285471.1,NM_001298542.1
NP_001285472.1,NM_001298543.1
NP_001285473.1,NM_001298544.1
NP_001285474.1,NM_001298545.1
NP_001285475.1,NM_001298546.1
NP_001285476.1,NM_001298547.1
NP_608364.2,NM_134520.4
NP_001245776.1,NM_001258847.2
NP_523417.2,NM_078693.3
NP_001245775.1,NM_001258846.1
NP_608365.1,NM_134521.3
NP_001285477.1,NM_001298548.1
NP_001014757.2,NM_001014757.3
NP_001027080.2,NM_001031909.2
NP_001014760.2,NM_001014760.3
NP_001014758.2,NM_001014758.3
NP_001014759.1,NM_001014759.2
NP_608368.1,NM_134524.3
NP_608369.1,NM_134525.2
NP_728315.1,NM_167690.1
NP_001162800.1,NM_001169329.1
NP_652406.1,NM_144149.3
NP_001285478.1,NM_001298549.1
NP_001097032.2,NM_001103562.3
NP_001285479.1,NM_001298550.1
NP_608371.2,NM_134527.3
NP_001162803.1,NM_001169332.2
NP_001097033.1,NM_001103563.2
NP_525013.2,NM_080274.3
NP_608372.1,NM_134528.3
NP_001188677.2,NM_001201748.3
NP_001188676.1,NM_001201747.2
NP_001259739.1,NM_001272810.1
NP_608373.1,NM_134529.4
NP_001188678.1,NM_001201749.2
NP_001259738.1,NM_001272809.1
NP_001259741.1,NM_001272812.1
NP_608374.1,NM_134530.3
NP_001259740.1,NM_001272811.1
NP_608375.1,NM_134531.4
NP_608376.1,NM_134532.4
NP_608377.1,NM_134533.4
NP_476615.1,NM_057267.4
NP_001162804.1,NM_001169333.2
NP_524670.2,NM_079931.4
NP_001245777.1,NM_001258848.1
NP_001285481.1,NM_001298552.2
NP_001285480.1,NM_001298551.2
NP_996516.1,NM_206793.2
NP_728323.3,NM_167693.4
NP_001285482.2,NM_001298553.2
NP_001285483.2,NM_001298554.2
NP_001303576.1,NM_001316647.1
NP_001303577.1,NM_001316648.1
NP_001303578.1,NM_001316649.1
NP_001368966.1,NM_001382066.1
NP_477078.1,NM_057730.5
NP_477070.1,NM_057722.4
NP_001285487.1,NM_001298558.1
NP_477076.1,NM_057728.4
NP_477077.1,NM_057729.4
NP_001285486.1,NM_001298557.1
NP_477069.1,NM_057721.4
NP_477079.1,NM_057731.4
NP_996522.1,NM_206799.2
NP_477072.1,NM_057724.4
NP_477071.1,NM_057723.4
NP_477074.1,NM_057726.4
NP_477073.1,NM_057725.4
NP_477075.2,NM_057727.5
NP_996521.1,NM_206798.2
NP_608378.2,NM_134534.3
NP_001245778.1,NM_001258849.2
NP_001245779.1,NM_001258850.2
NP_728324.1,NM_167694.2
NP_523418.1,NM_078694.3
NP_608379.1,NM_134535.3
NP_523419.1,NM_078695.4
NP_001285488.1,NM_001298559.1
NP_608380.1,NM_134536.3
NP_001162805.1,NM_001169334.1
NP_001162806.1,NM_001169335.2
NP_572374.1,NM_132146.2
NP_001259744.1,NM_001272815.1
NP_001259743.1,NM_001272814.1
NP_001259742.1,NM_001272813.1
NP_608382.2,NM_134538.3
NP_608383.1,NM_134539.2
NP_608385.1,NM_134541.3
NP_001097034.2,NM_001103564.2
NP_608387.1,NM_134543.3
NP_523420.1,NM_078696.3
NP_608388.2,NM_134544.3
NP_608389.2,NM_134545.3
NP_652293.1,NM_144036.3
NP_728338.2,NM_167700.3
NP_608391.2,NM_134547.3
NP_608392.1,NM_134548.2
NP_728340.2,NM_167701.2
NP_523421.2,NM_078697.3
NP_788940.1,NM_176767.2
NP_001285489.1,NM_001298560.1
NP_524803.1,NM_080064.3
NP_001303570.1,NM_001316641.1
NP_728342.1,NM_167703.4
NP_001285490.1,NM_001298561.1
NP_523422.4,NM_078698.4
NP_001285491.1,NM_001298562.1
NP_652292.1,NM_144035.3
NP_001285492.1,NM_001298563.1
NP_728344.1,NM_167704.3
NP_608393.1,NM_134549.4
NP_001285493.1,NM_001298564.1
NP_523423.1,NM_078699.3
NP_728346.2,NM_167705.3
NP_001162807.1,NM_001169336.2
NP_001285494.1,NM_001298565.1
NP_608395.6,NM_134551.7
NP_001285495.1,NM_001298566.1
NP_001162808.1,NM_001169337.2
NP_728347.1,NM_167706.3
NP_001162809.1,NM_001169338.2
NP_001245780.1,NM_001258851.1
NP_001285496.1,NM_001298567.1
NP_001285497.1,NM_001298568.1
NP_608396.2,NM_134552.6
NP_652291.1,NM_144034.2
NP_608397.1,NM_134553.3
NP_524080.1,NM_079356.3
NP_001285498.1,NM_001298569.1
NP_001162810.1,NM_001169339.2
NP_001259745.1,NM_001272816.2
NP_001162811.1,NM_001169340.2
NP_001036285.2,NM_001042820.3
NP_608400.2,NM_134556.2
NP_001259747.1,NM_001272818.1
NP_001285499.1,NM_001298570.1
NP_608403.1,NM_134559.3
NP_001285500.1,NM_001298571.1
NP_728356.2,NM_167709.3
NP_608404.1,NM_134560.3
NP_608405.4,NM_134561.7
NP_001245782.1,NM_001258853.1
NP_001245783.1,NM_001258854.1
NP_001162812.2,NM_001169341.2
NP_001245784.1,NM_001258855.1
NP_001245781.1,NM_001258852.1
NP_001245785.1,NM_001258856.1
NP_728358.1,NM_167711.3
NP_001285501.1,NM_001298572.1
NP_523424.2,NM_078700.4
NP_001245786.1,NM_001258857.2
NP_001285502.1,NM_001298573.1
NP_608406.1,NM_134562.2
NP_608407.1,NM_134563.2
NP_001245788.1,NM_001258859.2
NP_001285503.1,NM_001298574.1
NP_001245787.1,NM_001258858.2
NP_523425.2,NM_078701.3
NP_608410.2,NM_134566.3
NP_001138222.1,NM_001144750.2
NP_728361.1,NM_170660.2
NP_001097038.2,NM_001103568.3
NP_728363.1,NM_167715.2
NP_608409.1,NM_134565.2
NP_608411.2,NM_134567.2
NP_728367.3,NM_167716.3
NP_728372.1,NM_167719.2
NP_608416.1,NM_134572.3
NP_728371.1,NM_167718.2
NP_608417.2,NM_134573.3
NP_523426.1,NM_078702.2
NP_608418.1,NM_134574.2
NP_001285504.1,NM_001298575.1
NP_728377.1,NM_167721.3
NP_608419.1,NM_134575.2
NP_001285505.1,NM_001298576.1
NP_608420.1,NM_134576.3
NP_001138223.2,NM_001144751.2
NP_608421.1,NM_134577.2
NP_001285506.1,NM_001298577.1
NP_001259750.1,NM_001272821.1
NP_001259748.1,NM_001272819.1
